ProjectUUID,PersonUUID,Role
c7ff4234-d9d4-4a7d-92c0-23b4c971bfe9,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Co-Investigator
c7ff4234-d9d4-4a7d-92c0-23b4c971bfe9,f6921641-1f0a-4e24-a3a9-546e3927ab72,Co-Investigator
7bc8f483-88e2-43a9-b774-fd908e7b2fee,0ee7ba1e-3108-4db3-a908-97977980d032,Principal Investigator
6e76e8f9-3d76-46a0-9ca7-ad943a39e26e,a420ffb3-2ca6-4925-a25f-baaa5228fc15,Principal Investigator
1155118b-f91f-4fba-8ec2-328dc348ca54,3dac6e0e-2770-4c5e-b32a-d7750523516f,Principal Investigator
b0e79cb1-7d28-4efa-a4b5-9afb39ec7d33,a420ffb3-2ca6-4925-a25f-baaa5228fc15,Principal Investigator
b0e79cb1-7d28-4efa-a4b5-9afb39ec7d33,c596539b-3ceb-497c-9a43-e71d6b0f65a6,Co-Investigator
fb6c2b01-82c5-4b20-b6ef-94cd08477c3c,3dac6e0e-2770-4c5e-b32a-d7750523516f,Principal Investigator
f266da39-b6cd-4221-a419-c2c73ad16fa1,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
c5b5343d-48e1-49ea-a7b4-07bdfc23ca72,831421c0-027f-4a25-b795-ee2fce0c8d2a,Principal Investigator
f37a5ad9-0947-4b39-9bc4-c6fb89bead24,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
865b751d-b4ff-4938-b032-5d278a702de8,d37cba38-dff2-4c27-a515-226cfadfd849,Principal Investigator
01f3ad3a-5f8f-4306-965f-11f40e93481c,3dac6e0e-2770-4c5e-b32a-d7750523516f,Principal Investigator
6f7979df-0206-4ab9-904b-2a7cd6630cdb,a420ffb3-2ca6-4925-a25f-baaa5228fc15,Principal Investigator
4f4dc9dc-b06b-4d4d-8039-c54e18e7b997,2fa5dc89-7d78-45d0-96c7-e8f39b78dd3e,Principal Investigator
4f4dc9dc-b06b-4d4d-8039-c54e18e7b997,25a5a0d6-404b-419c-9502-b246525617a2,Co-Investigator
9a862524-98d2-4d6a-85bc-ce6612c9c718,2b8ff3a4-e9b0-403d-8bd8-1bf26121c234,Principal Investigator
389f89c7-3f1f-4f75-bac1-44c9e7703c42,bc7a60f7-45a0-401f-813f-6b4aa700c849,Principal Investigator
0fa9a31a-1db3-4a53-aabc-60e09ba950e8,cf5e1d64-5489-4534-ba34-8dba5fd354a6,Principal Investigator
89f14e97-e7b4-488c-a667-40d29d7efe26,8949ca8c-746d-4a53-b816-ec9ebf06764c,Principal Investigator
89f14e97-e7b4-488c-a667-40d29d7efe26,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
8bcd1359-3f40-4d7e-a3bc-fc05f427fac0,d37cba38-dff2-4c27-a515-226cfadfd849,Principal Investigator
8bcd1359-3f40-4d7e-a3bc-fc05f427fac0,7d7aa141-f716-4165-a057-f49e3f5d5b1e,Co-Investigator
feac0ff3-6475-4125-b2b9-98479b3cfc3a,879e7ac4-e64c-4c5f-9591-421e56cd0678,Principal Investigator
7591c28f-13f6-4c81-ac92-52ffabe3c960,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
