paperUUID,expertUUID,role,name,lastname
3ac73d97-82ac-4bdb-a53b-50139d6aaa3d,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
c3b3fa90-3bca-4f04-b14f-6fc9eec54221,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
8e6deaf9-0fec-4f5b-aad2-8731d82d796a,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
8e6deaf9-0fec-4f5b-aad2-8731d82d796a,10e4fc8e-556f-4104-b744-409caedc2276,Author,Morten,Hjelholt
8e6deaf9-0fec-4f5b-aad2-8731d82d796a,,Author,Christina,Neumayer
cb9cf0a9-6254-4123-9e9d-4a0c882661f3,,Author,Christoph,Mueller-Bloch
cb9cf0a9-6254-4123-9e9d-4a0c882661f3,,Author,Jason,Thatcher
cb9cf0a9-6254-4123-9e9d-4a0c882661f3,,Author,Roman,Beck
ee67d620-3bee-47da-a8bf-17c521fa79d0,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
02a52d4f-8d8c-440a-ba90-b45237b9afae,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
02a52d4f-8d8c-440a-ba90-b45237b9afae,,Author,Christina,Neumayer
02a52d4f-8d8c-440a-ba90-b45237b9afae,,Author,Jesper,Henrichsen
402e701b-f100-4179-9af3-3a27d5923253,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
d00a3e04-2735-47c3-9619-75a2db49bc1e,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
ae8d2f6a-0d20-4fe6-825d-54f2ef6a877a,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
